learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
153000.0,1.13192766,3.4296307593584043E-9,153000.0,99.99084967320262,99.99084967320262,-55.55555555542973,99.99084422761251,?,?,?,153000.0,11712.0
154000.0,1.137565709,3.4467134996751925E-9,154000.0,99.99090909090908,99.99090909090908,-55.55555555555556,99.99090371583208,?,?,?,154000.0,11712.0
155000.0,1.143129751,3.463572005977231E-9,155000.0,99.99096774193549,99.99096774193549,-55.555555555576795,99.99096243601082,?,?,?,155000.0,11712.0
156000.0,1.148651075,3.4803010808924815E-9,156000.0,99.99102564102564,99.99102564102564,-55.55555555564108,99.99102040292736,?,?,?,156000.0,11712.0
157000.0,1.154397233,3.4977113809684894E-9,157000.0,99.99108280254777,99.99108280254777,-55.55555555544795,99.99107763098355,?,?,?,157000.0,11712.0
158000.0,1.160191574,3.515267670849957E-9,158000.0,99.99113924050633,99.99113924050633,-55.55555555546893,99.99113413421654,?,?,?,158000.0,11712.0
159000.0,1.165806496,3.532280338605243E-9,159000.0,99.99119496855346,99.99119496855346,-55.55555555579528,99.99118992631001,?,?,?,159000.0,11712.0
160000.0,1.171962356,3.5509319959084174E-9,160000.0,99.99125,99.99125,-55.555555555643274,99.99124502060546,?,?,?,160000.0,11712.0
161000.0,1.178143754,3.5696610308686874E-9,161000.0,99.99130434782609,99.99130434782609,-55.55555555555556,99.99129943011266,?,?,?,161000.0,11712.0
162000.0,1.18421583,3.5880588307976706E-9,162000.0,99.99135802469135,99.99135802469135,-55.555555555488944,99.99135316752003,?,?,?,162000.0,11712.0
163000.0,1.190412417,3.6068338869512064E-9,163000.0,99.99141104294479,99.99141104294479,-55.55555555562258,99.99140624520439,?,?,?,163000.0,11712.0
164000.0,1.196678258,3.625818775991597E-9,164000.0,99.99146341463415,99.99146341463415,-55.555555555533076,99.99145867524052,?,?,?,164000.0,11712.0
165000.0,1.202462587,3.643344730486471E-9,165000.0,99.99151515151516,99.99151515151516,-55.55555555562341,99.9915104694104,?,?,?,165000.0,11712.0
166000.0,1.208575696,3.661866856416065E-9,166000.0,99.99156626506024,99.99156626506024,-55.55555555562381,99.99156163921185,?,?,?,166000.0,11712.0
167000.0,1.214131092,3.678699166178702E-9,167000.0,99.99161676646706,99.99161676646706,-55.55555555569289,99.9916121958672,?,?,?,167000.0,11712.0
168000.0,1.220289041,3.6973571529487753E-9,168000.0,99.99166666666667,99.99166666666667,-55.555555555532536,99.99166215033142,?,?,?,168000.0,11712.0
169000.0,1.226527036,3.7162576713164632E-9,169000.0,99.99171597633136,99.99171597633136,-55.55555555541657,99.99171151330006,?,?,?,169000.0,11712.0
170000.0,1.232497126,3.734346463580924E-9,170000.0,99.99176470588236,99.99176470588236,-55.555555555462355,99.99176029521686,?,?,?,170000.0,11712.0
171000.0,1.238702715,3.753148794919251E-9,171000.0,99.99181286549708,99.99181286549708,-55.55555555541493,99.99180850628112,?,?,?,171000.0,11712.0
172000.0,1.244838474,3.771739548146723E-9,172000.0,99.99186046511628,99.99186046511628,-55.55555555560271,99.99185615645487,?,?,?,172000.0,11712.0
173000.0,1.2510481,3.790554111202556E-9,173000.0,99.99190751445086,99.99190751445086,-55.55555555560298,99.99190325546964,?,?,?,173000.0,11712.0
174000.0,1.257260305,3.809376488377649E-9,174000.0,99.99195402298851,99.99195402298851,-55.55555555541246,99.99194981283314,?,?,?,174000.0,11712.0
175000.0,1.263321015,3.827739850431679E-9,175000.0,99.992,99.992,-55.55555555543562,99.99199583783567,?,?,?,175000.0,11712.0
176000.0,1.269671179,3.8469802299638575E-9,176000.0,99.99204545454545,99.99204545454545,-55.55555555545906,99.99204133955625,?,?,?,176000.0,11712.0
177000.0,1.275940535,3.865975769112506E-9,177000.0,99.99209039548023,99.99209039548023,-55.55555555570112,99.99208632686862,?,?,?,177000.0,11712.0
178000.0,1.281908135,3.884057016919056E-9,178000.0,99.99213483146067,99.99213483146067,-55.55555555565314,99.99213080844702,?,?,?,178000.0,11712.0
179000.0,1.288025049,3.902590671628713E-9,179000.0,99.99217877094972,99.99217877094972,-55.55555555531021,99.99217479277175,?,?,?,179000.0,11712.0
180000.0,1.29413908,3.921115591128666E-9,180000.0,99.99222222222222,99.99222222222222,-55.55555555548154,99.99221828813457,?,?,?,180000.0,11712.0
181000.0,1.300461743,3.9402726453045995E-9,181000.0,99.99226519337017,99.99226519337017,-55.55555555565479,99.99226130264387,?,?,?,181000.0,11712.0
182000.0,1.306549849,3.9587190145750835E-9,182000.0,99.99230769230769,99.99230769230769,-55.555555555405874,99.9923038442298,?,?,?,182000.0,11712.0
183000.0,1.312662544,3.977239886124928E-9,183000.0,99.99234972677596,99.99234972677596,-55.55555555570605,99.99234592064906,?,?,?,183000.0,11712.0
184000.0,1.318874105,3.996060312042633E-9,184000.0,99.99239130434783,99.99239130434783,-55.5555555553538,99.99238753948964,?,?,?,184000.0,11712.0
185000.0,1.325326009,4.01560895388325E-9,185000.0,99.99243243243244,99.99243243243244,-55.55555555565699,99.99242870817537,?,?,?,185000.0,11712.0
186000.0,1.331448579,4.0341597457230084E-9,186000.0,99.99247311827956,99.99247311827956,-55.55555555545359,99.99246943397037,?,?,?,186000.0,11712.0
187000.0,1.337690642,4.05307258973519E-9,187000.0,99.99251336898396,99.99251336898396,-55.555555555504284,99.99250972398333,?,?,?,187000.0,11712.0
188000.0,1.343746846,4.071422299047311E-9,188000.0,99.99255319148936,99.99255319148936,-55.555555555349414,99.99254958517156,?,?,?,188000.0,11712.0
189000.0,1.349773125,4.089681338518858E-9,189000.0,99.99259259259259,99.99259259259259,-55.55555555555556,99.99258902434505,?,?,?,189000.0,11712.0
190000.0,1.356264333,4.109349067658186E-9,190000.0,99.99263157894737,99.99263157894737,-55.55555555542534,99.99262804817045,?,?,?,190000.0,11712.0
191000.0,1.362233628,4.127435451149941E-9,191000.0,99.99267015706806,99.99267015706806,-55.55555555563409,99.9926666631746,?,?,?,191000.0,11712.0
192000.0,1.368401117,4.1461223431924984E-9,192000.0,99.99270833333334,99.99270833333334,-55.55555555550292,99.9927048757484,?,?,?,192000.0,11712.0
193000.0,1.374537949,4.1647163475056494E-9,193000.0,99.99274611398964,99.99274611398964,-55.55555555563492,99.99274269215019,?,?,?,193000.0,11712.0
194000.0,1.380694048,4.1833687289555874E-9,194000.0,99.99278350515463,99.99278350515463,-55.555555555449196,99.99278011850919,?,?,?,194000.0,11712.0
195000.0,1.386962034,4.202360117137433E-9,195000.0,99.99282051282051,99.99282051282051,-55.555555555689196,99.99281716082889,?,?,?,195000.0,11712.0
196000.0,1.39267245,4.219662122428418E-9,196000.0,99.99285714285713,99.99285714285713,-55.55555555574361,99.99285382499016,?,?,?,196000.0,11712.0
197000.0,1.399005269,4.238849948296945E-9,197000.0,99.61269035532995,99.61269035532995,-6836.363636369131,99.61250939525057,?,?,?,197000.0,11712.0
198000.0,1.405326152,4.258001609245937E-9,198000.0,99.10959595959596,99.10959595959596,-15927.272727263735,99.10918204418215,?,?,?,198000.0,11712.0
199000.0,1.411769702,4.277524939278762E-9,199000.0,98.61155778894472,98.61155778894472,-25018.181818204823,98.61091559917148,?,?,?,199000.0,11712.0
200000.0,1.418194496,4.296991440455119E-9,200000.0,98.1695,98.1695,-33181.81818180172,98.16865758248794,?,?,?,200000.0,11712.0
201000.0,1.424763171,4.316893887072802E-9,201000.0,98.02636815920398,98.02636815920398,-35963.63636365561,98.02546439166186,?,?,?,201000.0,11712.0
202000.0,1.431036376,4.335901088317236E-9,202000.0,98.01039603960396,98.01039603960396,-36436.363636400776,98.0094894704519,?,?,?,202000.0,11712.0
203000.0,1.437398646,4.355178147852421E-9,203000.0,98.02019704433498,98.02019704433498,-36436.36363634844,98.01929938691427,?,?,?,203000.0,11712.0
204000.0,1.443603015,4.37397678270936E-9,204000.0,98.02990196078431,98.02990196078431,-36436.363636336646,98.02901308433215,?,?,?,204000.0,11712.0
205000.0,1.450048919,4.3935072451333205E-9,205000.0,98.03951219512194,98.03951219512194,-36436.363636378795,98.03863197142132,?,?,?,205000.0,11712.0
206000.0,1.456428249,4.412835994809866E-9,206000.0,98.0490291262136,98.0490291262136,-36436.363636354356,98.04815742953164,?,?,?,206000.0,11712.0
207000.0,1.462754141,4.432002832541863E-9,207000.0,98.0584541062802,98.0584541062802,-36436.363636343376,98.05759081330832,?,?,?,207000.0,11712.0
208000.0,1.469237725,4.451647461702426E-9,208000.0,98.06778846153847,98.06778846153847,-36436.36363633075,98.06693345133425,?,?,?,208000.0,11712.0
209000.0,1.475724579,4.471301998645067E-9,209000.0,98.07703349282296,98.07703349282296,-36436.363636331225,98.0761866467536,?,?,?,209000.0,11712.0
210000.0,1.482089167,4.490586081494888E-9,210000.0,98.08619047619047,98.08619047619047,-36436.363636389884,98.08535167787792,?,?,?,210000.0,11712.0
211000.0,1.488565917,4.510210004299879E-9,211000.0,98.0952606635071,98.0952606635071,-36436.36363636983,98.09442979877481,?,?,?,211000.0,11712.0
