learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3544852.0,265.994053613,5.710997378117402E-4,3544852.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3544852.0,9520288.0,10.0,0.0,2.1271832999999996E7,3326.6827320916723,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3621914.0,271.779513758,5.853487783481473E-4,3621914.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3621914.0,9520288.0,10.0,0.0,2.17340465E7,3246.9225515179355,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3698976.0,278.115541019,6.00953813560393E-4,3698976.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3698976.0,9520288.0,10.0,0.0,2.2196056E7,3385.9031947836042,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3776038.0,285.303370344,6.186567566027393E-4,3776038.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3776038.0,9520288.0,10.0,0.0,2.26584047E7,3492.4740053113906,909196.0,176538.45443730132,54.4,10.71032731111011,27.7,5.355163655555055,27.7,5.355163655555055,8.200000000000001,1.1352924243950933,32663.668438044715,590.2480271440635,0.0,0.0,1.0039391308531962,7.584856817169472E-5
3853100.0,291.292707273,6.33454806384428E-4,3853100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3853100.0,9550544.0,10.0,0.0,2.31205852E7,3432.0370627367392,912219.2,177040.231006527,54.599999999999994,10.741404832598844,27.799999999999997,5.370702416299422,27.799999999999997,5.370702416299422,8.200000000000001,1.1352924243950933,32673.52650256084,597.2708761896172,0.0,0.0,1.0039378033643245,7.679554687718824E-5
3930162.0,297.092807108,6.478307007405247E-4,3930162.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3930162.0,9580800.0,10.0,0.0,2.35832159E7,2967.1789239391787,915242.4,184292.08639138276,54.800000000000004,11.213087591441232,27.900000000000002,5.606543795720616,27.900000000000002,5.606543795720616,8.200000000000001,1.1352924243950933,32673.52650256084,597.2708761896172,0.0,0.0,1.0039378033643245,7.679554687718824E-5
4007224.0,303.226418442,6.630838983700338E-4,4007224.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4007224.0,9612736.0,10.0,0.0,2.40456355E7,2878.3164156995936,918433.6,185772.41443060857,55.0,11.234866364235145,28.0,5.617433182117573,28.0,5.617433182117573,8.200000000000001,1.1352924243950933,32673.52650256084,597.2708761896172,0.0,0.0,1.0039378033643245,7.679554687718824E-5
4084286.0,310.260327724,6.806967884726411E-4,4084286.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4084286.0,9679128.0,10.0,0.0,2.45087616E7,3092.1808629003926,925068.8,187948.76200875128,55.2,11.292081788187291,28.1,5.6460408940936455,28.1,5.6460408940936455,8.200000000000001,1.1352924243950933,32673.52650256084,597.2708761896172,0.0,0.0,1.0039378033643245,7.679554687718824E-5
4161348.0,316.017638514,6.95113079352354E-4,4161348.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4161348.0,9679128.0,10.0,0.0,2.4971008E7,2746.160713918176,925068.8,187948.76200875128,55.2,11.292081788187291,28.1,5.6460408940936455,28.1,5.6460408940936455,8.200000000000001,1.1352924243950933,32673.52650256084,597.2708761896172,0.0,0.0,1.0039378033643245,7.679554687718824E-5
4238410.0,321.846195434,7.097077703517753E-4,4238410.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4238410.0,9679128.0,10.0,0.0,2.54336283E7,2553.018215977024,925068.8,187948.76200875128,55.2,11.292081788187291,28.1,5.6460408940936455,28.1,5.6460408940936455,8.200000000000001,1.1352924243950933,32661.86833878913,600.3565194298735,0.0,0.0,1.0039391356921143,7.7070172228495E-5
