learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2620108.0,301.643544176,3.382377271843636E-4,2620108.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2620108.0,4608056.0,1181008.0000000002,1161397.0227465043,413619.19999999995,228971.96155415085,24.599999999999994,14.354248306492556,12.799999999999997,7.177124153246278,12.799999999999997,7.177124153246278,5.4,2.716206504995115,9665.28888888889,15574.076052262173,0.0,0.0,1.0012025592329823,0.0019378313418854552
2697170.0,310.599567932,3.4890652141086984E-4,2697170.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2697170.0,4604712.0,1216020.0,1207511.4457704602,413286.4,243139.6471254054,24.199999999999996,14.581571322125138,12.599999999999998,7.290785661062569,12.599999999999998,7.290785661062569,5.3,2.6267851073127395,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
2774232.0,319.750980944,3.5950632242154324E-4,2774232.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2774232.0,4477256.0,1266932.0,1236883.970126364,400551.19999999995,261200.02715534996,23.200000000000003,15.845083359410472,12.100000000000001,7.922541679705236,12.100000000000001,7.922541679705236,5.0,2.9814239699997196,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
2851294.0,328.764008093,3.7049055228492234E-4,2851294.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2851294.0,4710872.0,1321693.9999999998,1262496.9042866337,423896.0,239292.2572587755,24.599999999999998,14.538836878436245,12.799999999999999,7.269418439218122,12.799999999999999,7.269418439218122,5.3,2.7100635498903793,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
2928356.0,337.539731409,3.809413684402912E-4,2928356.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2928356.0,4603304.0,1361956.0000000002,1303823.1773433767,409956.0,251438.69645082255,23.799999999999997,15.237380935639097,12.399999999999999,7.618690467819548,12.399999999999999,7.618690467819548,5.199999999999999,2.8982753492378874,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3005418.0,346.358941431,3.9178910446344053E-4,3005418.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3005418.0,4754576.0,1407518.0,1339795.7514321187,428264.0,234456.18487801842,24.8,14.28130090557424,12.9,7.14065045278712,12.9,7.14065045278712,5.3999999999999995,2.5473297566057065,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3082480.0,355.529226343,4.0275101747229913E-4,3082480.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3082480.0,4620680.0,1451830.0,1377454.4567990464,411693.6,253358.8087134748,23.799999999999997,15.440207252495025,12.399999999999999,7.7201036262475125,12.399999999999999,7.7201036262475125,5.1,2.884826203122507,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3159542.0,364.254890216,4.1345961836423197E-4,3159542.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3159542.0,4743912.0,1499592.0,1411540.971381592,427197.6,236183.08276382167,24.8,14.312387796746023,12.9,7.156193898373012,12.9,7.156193898373012,5.399999999999999,2.547329756605707,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3236604.0,373.559571568,4.2496306991183006E-4,3236604.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3236604.0,4778912.0,1554954.0,1437287.6084640974,427504.0,238970.19004423497,25.0,14.267289706021797,13.0,7.133644853010899,13.0,7.133644853010899,5.5,2.5927248643506746,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3313666.0,382.703844838,4.365816820392181E-4,3313666.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3313666.0,4911424.0,1612416.0,1460933.8955689345,443936.8,230937.58547124563,25.799999999999997,13.990472948879653,13.399999999999999,6.995236474439826,13.399999999999999,6.995236474439826,5.5,2.798809270624444,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3390728.0,391.536616315,4.4803871134605486E-4,3390728.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3390728.0,5013920.0,1674078.0,1480041.3667266946,454179.2,227006.49776153007,26.400000000000002,13.761459870877719,13.700000000000001,6.880729935438859,13.700000000000001,6.880729935438859,5.6,2.7968235951204043,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3467790.0,399.715944689,4.5890414152560856E-4,3467790.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3467790.0,5134896.0,1735690.0,1499672.5716709704,466265.6,223424.18176255378,27.599999999999998,13.533497535949662,14.299999999999999,6.766748767974831,14.299999999999999,6.766748767974831,5.8,2.573367875415838,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3544852.0,408.548183925,4.7102288402511904E-4,3544852.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3544852.0,5303824.0,1797601.9999999998,1519354.5641708083,483147.19999999995,218759.30509875205,28.400000000000002,13.301628972924078,14.700000000000001,6.650814486462039,14.700000000000001,6.650814486462039,5.8,2.6583202716502514,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3621914.0,417.541304018,4.8329397175909635E-4,3621914.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3621914.0,5274424.0,1859014.0,1540117.253833472,480210.39999999997,230907.85205223702,28.0,13.992061241210239,14.5,6.9960306206051195,14.5,6.9960306206051195,5.7,2.7908580918579307,12944.048888888889,16722.19880003872,0.0,0.0,1.001595390669257,0.002061206219983652
3698976.0,425.490397431,4.942165267310075E-4,3698976.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3698976.0,5311400.0,1888026.0,1597947.788918997,480322.39999999997,215863.09073587466,28.0,13.140268896284683,14.5,6.570134448142341,14.5,6.570134448142341,5.8,2.2997584414213788,16259.539797979796,17151.91295828467,0.0,0.0,1.0019836507376958,0.002092731845380409
