learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
4237860.0,1355.013076081,0.0010479546109244968,4237860.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4237860.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,42242.233333333366,148537.38893120384,18703.333333333325,926.9113192951825
4314912.0,1383.573193229,0.001070007341600003,4314912.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4314912.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,48662.60833333333,168847.6959688967,18703.333333333325,926.9113192951825
4391964.0,1412.330932226,0.001092212666236837,4391964.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4391964.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,55084.0333333333,189394.5580543092,18703.333333333325,926.9113192951825
4469016.0,1441.136414595,0.0011144548559789082,4469016.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4469016.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,61509.65833333332,210107.56457744158,18703.333333333325,926.9113192951825
4546068.0,1467.957857905,0.0011351650674454325,4546068.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4546068.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,67927.58333333334,230945.1775556517,18703.333333333325,926.9113192951825
4623120.0,1497.053962089,0.00115763166119052,4623120.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4623120.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,74359.68333333336,251870.58163447847,18703.333333333325,926.9113192951825
4700172.0,1524.198722525,0.001178591522385913,4700172.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4700172.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,80774.98333333337,272871.78727910016,18703.333333333325,926.9113192951825
4777224.0,1555.485122751,0.001202749355997544,4777224.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4777224.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,87188.35833333331,293929.20067368075,18703.333333333325,926.9113192951825
4854276.0,1584.211922921,0.0012249307911798735,4854276.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4854276.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,93614.68333333333,315027.2570487037,18703.333333333325,926.9113192951825
4931328.0,1612.983590785,0.0012471468710090257,4931328.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4931328.0,2984728.0,20.0,20.0,20.0,0.0,100.0,100.0,3280.0,1.0,0.8,0.7,100035.58333333339,336163.03853232745,18703.333333333325,926.9113192951825
