learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
2272798.0,1279.291752402,0.001037712026662309,2272798.0,88.8,0.0,-Infinity,-Infinity,2272798.0,3155832.0,20.0,20.0,20.0,0.0,100.0,100.0,2096.0,0.773,0.8,0.7,10820.95,39630.096182609195,20225.333333333332,657.7769197763599
2311320.0,1300.929541496,0.0010553774637828642,2311320.0,99.9,0.0,-Infinity,-Infinity,2311320.0,3155832.0,20.0,20.0,20.0,0.0,100.0,100.0,2130.0,0.5042422556112038,0.8,0.7,11927.891666666666,47406.608853493875,20225.333333333332,657.7769197763599
2349842.0,1321.790965412,0.001072376251012918,2349842.0,100.0,?,?,?,2349842.0,3149752.0,20.0,20.0,20.0,0.0,100.0,100.0,2166.0,0.5784444444444445,0.8,0.7,11475.98333333333,48047.513910795875,20174.66666666666,541.9400775169212
2388364.0,1344.497637132,0.0010910036293361408,2388364.0,99.9,0.0,-Infinity,-Infinity,2388364.0,3171032.0,20.0,20.0,20.0,0.0,100.0,100.0,2207.0,0.783,0.8,0.7,7602.566666666667,41466.12108084522,20352.0,872.6599923136578
2426886.0,1366.419641632,0.0011089355855887942,2426886.0,85.2,0.0,-Infinity,-Infinity,2426886.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,2238.0,0.2972757793764989,0.8,0.7,8979.024999999996,46360.05923413652,20276.0,755.3488814932538
2465408.0,1388.097228459,0.001126667610899019,2465408.0,95.6,0.0,-Infinity,-Infinity,2465408.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,2280.0,0.5964444444444444,0.8,0.7,10982.89166666666,53152.511695523724,20276.0,755.3488814932538
2503930.0,1408.554990406,0.0011433696549818049,2503930.0,95.0,0.0,-Infinity,-Infinity,2503930.0,3155832.0,20.0,20.0,20.0,0.0,100.0,100.0,2327.0,0.6344444444444445,0.8,0.7,12932.24166666667,59952.53087304958,20225.333333333332,657.7769197763604
2542452.0,1430.997225833,0.0011616212561561927,2542452.0,99.8,0.0,-Infinity,-Infinity,2542452.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,2358.0,1.0,0.8,0.7,9109.174999999994,60125.33858052609,20123.999999999985,386.71727670332956
2580974.0,1453.637418169,0.0011800338497844978,2580974.0,99.9,0.0,-Infinity,-Infinity,2580974.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,2401.0,1.0,0.8,0.7,12322.899999999992,66061.02766654229,20123.999999999985,386.71727670332956
2619496.0,1474.898167058,0.0011972822098551925,2619496.0,99.9,0.0,-Infinity,-Infinity,2619496.0,3135968.0,20.0,20.0,20.0,0.0,100.0,100.0,2438.0,1.0,0.8,0.7,9991.225000000004,55734.340803020794,20059.933333333338,1943.54139096016
2658018.0,1498.110996696,0.0012162517910031196,2658018.0,100.0,?,?,?,2658018.0,3158872.0,20.0,20.0,20.0,0.0,100.0,100.0,2477.0,1.0,0.8,0.7,7819.2666666666655,57143.41403544044,20250.66666666666,707.2585650744343
2696540.0,1519.674646697,0.001233907575991162,2696540.0,97.2,0.0,-Infinity,-Infinity,2696540.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,2513.0,1.0,0.8,0.7,10007.400000000005,62253.611222498716,20301.333333333332,794.6194410045653
2735062.0,1541.19369771,0.0012515268444273787,2735062.0,100.0,?,?,?,2735062.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,2541.0,0.4126468626224724,0.8,0.7,13223.050000000003,68466.79837675972,20301.333333333332,794.6194410045653
